"fips","democratic_raw_votes_1932","democratic_raw_votes_1936","democratic_raw_votes_1940","democratic_raw_votes_1944","democratic_raw_votes_1948","democratic_raw_votes_1952","democratic_raw_votes_1956","democratic_raw_votes_1960","democratic_raw_votes_1964","democratic_raw_votes_1968","democratic_raw_votes_1972","democratic_raw_votes_1976","democratic_raw_votes_1980","democratic_raw_votes_1984","democratic_raw_votes_1988","democratic_raw_votes_1992","democratic_raw_votes_1996","democratic_raw_votes_2000","democratic_raw_votes_2004","democratic_raw_votes_2008","democratic_raw_votes_2012","democratic_raw_votes_2016","democratic_raw_votes_2020","pres_raw_county_vote_totals_two_party_1932","pres_raw_county_vote_totals_two_party_1936","pres_raw_county_vote_totals_two_party_1940","pres_raw_county_vote_totals_two_party_1944","pres_raw_county_vote_totals_two_party_1948","pres_raw_county_vote_totals_two_party_1952","pres_raw_county_vote_totals_two_party_1956","pres_raw_county_vote_totals_two_party_1960","pres_raw_county_vote_totals_two_party_1964","pres_raw_county_vote_totals_two_party_1968","pres_raw_county_vote_totals_two_party_1972","pres_raw_county_vote_totals_two_party_1976","pres_raw_county_vote_totals_two_party_1980","pres_raw_county_vote_totals_two_party_1984","pres_raw_county_vote_totals_two_party_1988","pres_raw_county_vote_totals_two_party_1992","pres_raw_county_vote_totals_two_party_1996","pres_raw_county_vote_totals_two_party_2000","pres_raw_county_vote_totals_two_party_2004","pres_raw_county_vote_totals_two_party_2008","pres_raw_county_vote_totals_two_party_2012","pres_raw_county_vote_totals_two_party_2016","pres_raw_county_vote_totals_two_party_2020","dem_two_party_vote_share_1932","dem_two_party_vote_share_1936","dem_two_party_vote_share_1940","dem_two_party_vote_share_1944","dem_two_party_vote_share_1948","dem_two_party_vote_share_1952","dem_two_party_vote_share_1956","dem_two_party_vote_share_1960","dem_two_party_vote_share_1964","dem_two_party_vote_share_1968","dem_two_party_vote_share_1972","dem_two_party_vote_share_1976","dem_two_party_vote_share_1980","dem_two_party_vote_share_1984","dem_two_party_vote_share_1988","dem_two_party_vote_share_1992","dem_two_party_vote_share_1996","dem_two_party_vote_share_2000","dem_two_party_vote_share_2004","dem_two_party_vote_share_2008","dem_two_party_vote_share_2012","dem_two_party_vote_share_2016","dem_two_party_vote_share_2020","county.county_name","county.state"
"01061",2559,2652,2565,2004,1823,2703,2841,3050,1074,7864,1049,5983,4703,2330,2685,3622,3174,2769,2113,2134,2039,1525,1595,2829,2947,2929,2387,2109,3653,4020,4507,5576,8156,6900,8646,9450,8638,8388,8465,7899,9357,10455,11551,11214,11519,12443,0.904559915164369,0.899898201560909,0.875725503584841,0.839547549224969,0.86439070649597,0.739939775526964,0.706716417910448,0.676725094297759,0.192611190817791,0.964198136341344,0.152028985507246,0.691996298866528,0.497671957671958,0.269738365362352,0.320100143061516,0.427879503839338,0.401823015571591,0.295928182109651,0.202104256336681,0.18474590944507,0.181826288567862,0.132389964406633,0.128184521417665,"GENEVA","AL"
"01063",665,861,894,676,621,674,691,723,587,1553,3235,2900,3474,3675,3295,3865,3526,3504,3764,4408,4521,4013,3884,674,881,971,721,652,1104,1000,1108,1711,1733,4639,3803,4508,5036,4343,4670,4322,4354,4722,5284,5325,4851,4759,0.986646884272997,0.977298524404086,0.920700308959835,0.937586685159501,0.952453987730061,0.610507246376812,0.691,0.652527075812274,0.343074225599065,0.896133871898442,0.697348566501401,0.762555876939259,0.770629991126886,0.729745830023828,0.758692148284596,0.82762312633833,0.815826006478482,0.804777216352779,0.79711986446421,0.834216502649508,0.849014084507042,0.827252112966399,0.816137844084892,"GREENE","AL"
"01065",1276,1626,1692,1266,1041,1210,1313,1309,548,2837,1779,3236,3583,3289,3187,3481,3372,4652,4631,4982,5411,4775,4687,1346,1646,1724,1299,1084,1968,1817,2050,2446,3102,4638,5270,5657,5980,5601,5482,5265,7636,7912,8182,8621,7948,7877,0.947994056463596,0.987849331713244,0.981438515081206,0.97459584295612,0.960332103321033,0.614837398373984,0.722619702806824,0.638536585365854,0.224039247751431,0.914571244358478,0.383570504527814,0.61404174573055,0.633374580166166,0.55,0.569005534725942,0.634987230937614,0.64045584045584,0.609219486642221,0.585313447927199,0.608897580053777,0.627653404477439,0.600780070457977,0.595023486098769,"HALE","AL"
"01067",1741,1925,1960,1635,1040,1966,2127,2115,589,4232,853,3144,2973,2231,2206,2804,3019,2782,2452,3018,3083,2292,2606,1783,1960,2029,1681,1087,2387,2556,2707,3485,4326,4267,5196,5786,6183,5819,5774,6101,6836,7333,8603,8711,7924,9213,0.976444195176669,0.982142857142857,0.965993100049285,0.972635336109459,0.956761729530819,0.823627984918307,0.832159624413146,0.781307720724049,0.169010043041607,0.978270920018493,0.199906257323647,0.605080831408776,0.513826477704805,0.360828076985282,0.379102938649252,0.485625216487704,0.494836911981642,0.406963136337039,0.334378835401609,0.35080785772405,0.353920330616462,0.289247854618879,0.282861174427439,"HENRY","AL"
"01069",3863,3538,3941,3349,2715,3779,3639,3897,1421,14462,2358,8787,7848,6488,7001,8857,8791,9412,9144,12225,12367,10664,12917,4020,3768,4424,3631,3141,6296,6271,7957,11774,15430,14980,19459,22732,27342,26990,26217,26267,31562,36018,41479,41637,41392,45535,0.960945273631841,0.93895966029724,0.890822784810127,0.922335444781052,0.864374403056351,0.600222363405337,0.580290224844522,0.489757446273721,0.120689655172414,0.937265068049255,0.157409879839786,0.451564828614009,0.345240190040472,0.237290615170799,0.259392367543535,0.337834229698287,0.334678493927742,0.298206704264622,0.253873063468266,0.294727452445816,0.297019477868242,0.257634325473521,0.283671900735698,"HOUSTON","AL"
"01071",3109,3450,3818,2967,1726,3677,4762,4789,3145,8161,2985,10989,8776,7635,7418,10628,8204,9066,8635,6374,5822,3673,3717,4050,4376,4763,3993,2329,4949,6630,6825,5875,9326,9187,14902,13673,14365,13508,16339,13854,17541,20169,20457,20261,20345,23387,0.767654320987654,0.788391224862888,0.801595633004409,0.74305033809166,0.741090596822671,0.7429783794706,0.718250377073906,0.701684981684982,0.53531914893617,0.875080420330259,0.324915641667574,0.737417796268957,0.641848899290573,0.531500174034111,0.549156055670714,0.650468204908501,0.592175544968962,0.516846245938088,0.428132282215281,0.311580388131202,0.287350081437244,0.180535758171541,0.158934450763245,"JACKSON","AL"
"01073",30858,35982,37109,31101,30043,38111,38304,44369,38082,103692,57288,99531,113069,107506,107766,125889,120208,129889,132286,166121,159876,156873,181688,35422,39795,43825,38510,37304,70365,81999,103639,138838,143362,192383,213121,245681,265868,256645,275721,251188,268380,290966,316042,301559,291641,320531,0.871153520411044,0.90418394270637,0.846754135767256,0.807608413399117,0.805355993995282,0.541618702479926,0.467127647898145,0.42811103928058,0.274290900185828,0.723287900559423,0.297780988964721,0.467016389750423,0.460226879571477,0.404358553868837,0.419902978822888,0.456581109164699,0.478557892892973,0.483974215664356,0.454644185231264,0.525629504939217,0.530164909685998,0.537897620704908,0.566834409152313,"JEFFERSON","AL"
"01075",2208,2393,2666,2025,1434,2512,2432,2386,1041,5231,766,3860,3366,1910,2274,2849,2843,2653,1956,1614,1646,1036,978,2466,2588,2941,2335,1614,3117,3299,3342,3775,5572,4049,5599,6144,5853,5488,6111,5798,7123,6850,7033,7103,6859,7152,0.895377128953771,0.924652241112828,0.90649438966338,0.867237687366167,0.888475836431227,0.805903111966635,0.737193088814792,0.713943746259725,0.275761589403973,0.938801148600144,0.189182514201037,0.689408823004108,0.5478515625,0.32632837860926,0.41435860058309,0.466208476517755,0.490341497067954,0.372455426084515,0.285547445255474,0.229489549267738,0.231733070533577,0.151042426009622,0.136744966442953,"LAMAR","AL"
"01077",3337,4685,5066,4001,3258,7097,9128,8565,6593,13447,5112,15549,15379,12907,12862,15936,13619,13875,14628,13329,12511,9952,11915,3770,5075,5573,4591,3804,9007,11586,12123,12571,16396,19522,22775,25846,28261,25804,29664,27677,31353,36789,37397,36422,37851,43636,0.885145888594164,0.923152709359606,0.909025659429392,0.871487693313004,0.856466876971609,0.787942711224603,0.787847402036941,0.706508290027221,0.52446106117254,0.820139058306904,0.261858416145887,0.682722283205269,0.59502437514509,0.456707122890202,0.49844985273601,0.537216828478964,0.492069227156122,0.442541383599656,0.397618853461633,0.356418964088028,0.343501180605129,0.262925682280521,0.273054358786323,"LAUDERDALE","AL"
"01079",1920,2213,2277,1894,1436,2651,2961,2929,1808,6266,1416,6810,6112,4866,4646,6364,5254,6296,6155,5164,5069,3627,3562,2219,2657,2757,2459,1793,3460,4158,4292,3617,6980,5849,8225,8568,9332,8262,9940,9147,11967,13885,14441,13943,14460,15884,0.865254619197837,0.832894241625894,0.825897714907508,0.770231801545344,0.800892359174568,0.766184971098266,0.712121212121212,0.682432432432432,0.499861763892729,0.897707736389685,0.242092665412891,0.827963525835866,0.713352007469655,0.521431633090441,0.562333575405471,0.640241448692153,0.574395976823002,0.526113478733183,0.443284119553475,0.357592964476144,0.363551602954888,0.250829875518672,0.224250818433644,"LAWRENCE","AL"
