"fips","2004","2008","2012","2016","2020"
"01001",0.238448431392202,0.259320735444331,0.26800606520091,0.246225319396051,0.274423027687356
"01003",0.227490156044918,0.240351116456104,0.21819043107532,0.202077927765188,0.22731728972827
"01005",0.450284223278352,0.492692207904523,0.51579131041703,0.471767554479419,0.461391071086415
"01007",0.276286205528369,0.268543394463264,0.264218862491001,0.217603344170924,0.208810850594049
"01009",0.184674545113487,0.147296223495462,0.125173852573018,0.0861882870277833,0.0965229790501261
"01011",0.682397959183674,0.742502776749352,0.764495481927711,0.755888650963597,0.750435540069686
"01013",0.406696854146807,0.432957717357593,0.462318993763873,0.431899849310305,0.420778945134246
"01015",0.335946722498162,0.335524423811676,0.338749481316473,0.287201509532175,0.30240276646064
"01017",0.412290847405351,0.457352347638908,0.473960129682003,0.424451456666911,0.421021299113639
"01019",0.339172152181189,0.240108288213244,0.221207719443868,0.147333333333333,0.133038420578357
"01021",0.227494430059613,0.208347510491097,0.196029776674938,0.161794130724767,0.160402964818875
"01023",0.45875,0.462654281715231,0.476946334089191,0.430907830907831,0.421258251380843
"01025",0.407413929734965,0.442002989536622,0.458852506519849,0.446039258282256,0.44001835002676
"01027",0.290471075648304,0.260972716488731,0.269487412799515,0.190836161678494,0.184478741991846
"01029",0.24145113695539,0.182957393483709,0.155534198302098,0.106079404466501,0.0942869115798296
"01031",0.256014629407395,0.253975397539754,0.251390944821602,0.210041799363057,0.23098976109215
"01033",0.445556209535021,0.396980607151624,0.3967621850922,0.303932163937152,0.302875190590285
"01035",0.453923205342237,0.497028554863024,0.508292822419216,0.473846153846154,0.462858926342072
"01037",0.414314516129032,0.411700778844412,0.418129770992366,0.345148169668797,0.330937903077207
"01039",0.235387154449182,0.206579954093344,0.206256939455294,0.152484987862527,0.157219622118218
"01041",0.31013698630137,0.309733098929199,0.321266259207021,0.269386433543791,0.258988421694089
"01043",0.230760405013912,0.168699654775604,0.148365686763972,0.103242993448773,0.108274094491997
